labels,sentences
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p254/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p255/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p256/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p257/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p258/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p259/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p26/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p260/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p261/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p262/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p263/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p264/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p265/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p266/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p267/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p268/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p269/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p27/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p270/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p271/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p272/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p273/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p274/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p275/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p276/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p277/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p278/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p279/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p28/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p280/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p281/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p282/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p283/image_10.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p284/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p285/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p286/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p287/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p288/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p289/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p29/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p290/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p291/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p292/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p293/image_16.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p294/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p295/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p296/image_12.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p297/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p298/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p299/image_8.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p3/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p30/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p300/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p301/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p302/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p303/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p304/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p305/image_15.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p306/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p307/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p308/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p309/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p31/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p310/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p311/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p312/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p313/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p314/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p315/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p316/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p317/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p318/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p319/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p32/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p320/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p321/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p322/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p323/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p324/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p325/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p326/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p327/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p328/image_11.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p329/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p33/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p330/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p331/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p332/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p333/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p334/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p335/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p336/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p337/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p338/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p339/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p34/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p340/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p341/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p342/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p343/image_11.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p344/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p345/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p346/th.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p347/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p348/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p349/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p35/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p350/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p351/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p352/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p353/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p354/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p355/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p356/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p357/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p358/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p359/image_16.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p36/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p360/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p361/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p362/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p363/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p364/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p365/image_9.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p366/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p367/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p368/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p369/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p37/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p370/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p371/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p372/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p373/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p374/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p375/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p376/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p377/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p378/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p379/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p38/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p380/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p381/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p382/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p383/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p384/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p385/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p386/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p387/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p388/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p389/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p39/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p390/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p391/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p392/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p393/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p394/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p395/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p396/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p397/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p398/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p399/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p4/cover.jpg
